sl no,work,status,year,garam,work type,Total
86,ಚಿಲಮೂರ ಗ್ರಾಮದ ಮಹಾಂತಪ್ಪ ಕಂಬಳಿ ಮನೆಯಿಂದ ಅಂಗನವಾಡಿ ಕೆಂದ್ರದವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231559),,,,,
87,ಚಿಲಮೂರ ಗ್ರಾಮದ ಬಸಪ್ಪ ಹ ಕುಕ್ಕಡಿ ಇವರ ಮನೆಯಿಂದ ಶಿವಪ್ಪ ಕುಲಮೂರ ಇವರ ಮನೆಯವೆರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231560),,,,,
88,ನಿಂಗಾಪೂರ ಗ್ರಾಮದ ಕನ್ನಡ ಶಾಲೆಯ ಸುತ್ತಲು ಕಂಪೌಂಡ ಗೋಡೆ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892231561),,,,,
89,ನರಸಾಪೂರ ಗ್ರಾಮದ ಭೀಮಪ್ಪ ಮಾದರ ಇವರ ಮನೆಯಿಂದ ಹಿರೇಮಠ ಇವರ ಜಮೀನದವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892232654),,,,,
90,ಅಂಗನವಾಡಿಯಿಂದ ಮಲ್ಲಪ್ಪ ರೊಟ್ಟಿ ಮನೆಯವೆರೆಗೆ ಒಳಚರಂಡಿ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892233686),,,,,
91,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸನಗೌಡ ದ್ಯಾ ಪಾಟೀಲ ಇವರ ಜಮೀನದಿಂದ ಡಾಂಬರ ರಸ್ತೆವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Flood Control and Protection,0
,(1504009014/FP/93393042892240714),,,,,
92,ನರಸಾಪೂರ ಗ್ರಾಮದ ನಿಂಗಪ್ಪ ಹಳೆತೀರಗಲ್ ಇವರ ಮನೆಯಿಂದ ಹಳ್ಳದ ವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ,Completed,2010-2011,Gram Panchayat,Flood Control and Protection,2.71217
,(1504009014/FP/95044),,,,,
93,ನರಸಾಪೂರ ಗ್ರಾಮದ ಕನ್ನಡ ಗಂಡು ಮಕ್ಕಳ ಶಾಲೆಯಿಂದ ಹಳ್ಳದವರೆಗ,Completed,2010-2011,Gram Panchayat,Flood Control and Protection,3.92196
,(1504009014/FP/96453),,,,,
94,ನರಸಾಪೂರ ಗ್ರಾಮದ ದ್ಯಾಮವನ ಗುಡಿಯಿಂದ ಭರಮಪ್ಪನ ಗುಡಿ ವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ.,Completed,2010-2011,Gram Panchayat,Flood Control and Protection,2.54601
,(1504009014/FP/97795),,,,,
95,ಚಿಲಮೂರ ಗ್ರಾಮದಲ್ಲಿ ದೋಭಿ ಘಾಟದಿಂದ ಬ್ರೀಜ್ ವರೆಗೆ ತಡೆ ಗೋ,Completed,2011-2012,Gram Panchayat,Flood Control and Protection,0.9905
,(1504009014/FP/9945043243),,,,,
96,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮಸೂತಿ ಯಿಂದ ರಾಮವ್ವ ಹಳ್ಳಿ ಇವರ ಮನೆ ವರೆ,Completed,2011-2012,Gram Panchayat,Flood Control and Protection,0.9702
,(1504009014/FP/9945045542),,,,,
97,ನರಸಾಪೂರ ಗ್ರಾಮದ ಚಿಕ್ಕ ಹಳ್ಳದಿಂದ ಹಳ್ಳದವರೆಗೆ ಚರಂಡಿ ನಿರ,Completed,2011-2012,Gram Panchayat,Flood Control and Protection,0.9842
,(1504009014/FP/9945045548),,,,,
98,ಚಿಲಮೂರ ಗ್ರಾಮದ ಕರೇಮ್ಮಾನ ಗುಡಿ ಹತ್ತಿರ ಚರಂಡಿ ನಿರ್ಮಾಣ.,Completed,2011-2012,Gram Panchayat,Flood Control and Protection,0.9775
,(1504009014/FP/9945045558),,,,,
99,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಬುದಿ ಯವರ ಹೊಲದಿಂದ ಹಳ್ಳದ ವರೆಗೆ ಚರ,Completed,2011-2012,Gram Panchayat,Flood Control and Protection,2.9965
,(1504009014/FP/9945046761),,,,,
100,ಚಿಲಮೂರ ಗ್ರಾಮದ ನಾಮದೇವ ಕಲ್ಲೇಶನವರ ಮನೆಯಿಂದ ಗುಡ್ಡದನೀರು,Completed,2011-2012,Gram Panchayat,Flood Control and Protection,1.9591
,(1504009014/FP/9945060825),,,,,
101,Narasapur ರಾಮವ್ವ ಹಳ್ಳಿ ಇವರ ಮನೆಯಿಂದ ಚರಂಡಿ ನಿರ್ಮಾಣ.,Completed,2012-2013,Gram Panchayat,Flood Control and Protection,2.20342
,(1504009014/FP/9945070671),,,,,
102,ರಾಮಗುರ್ಗ ತಾಲೂಕಿನ ನರಸಾಪೂರ ಗ್ರಾಮದ ಸ್ಮಶಾಣ ರಸ್ತೆ ನಿಂಗಪ,Completed,2013-2014,Gram Panchayat,Flood Control and Protection,1.14681
,(1504009014/FP/9945088252),,,,,
103,ಮಎಕಾ 12ನೇ ಹಂಚಿಕೆಯ ಉಪ ಹಂಚಿಕೆಗಳಲ್ಲಿ (1 ರಿಂದ 4) ಕಂಟಿ,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.52398
,(1504009014/IC/34824),,,,,
104,ಮಎಕಾ 12ನೇ ಹಂಚಿಕೆಯ ಉಪ ಹಂಚಿಕೆಗಳಲ್ಲಿ (5 ರಿಂದ 8) ಕಂಟಿ,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.9225
,(1504009014/IC/34825),,,,,
105,ಮ.ಎ.ಕಾ.ಕಿಮೀ 31 & 32 ರಲ್ಲಿ ಕಂಟಿ ಮತ್ತು ಹೊಳು ತೆಗೆಯುವದ,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.93726
,(1504009014/IC/34864),,,,,
106,ಮ.ಎ.ಕಾ.13 ನೇ ಹಂಚಿಕೆಯಲ್ಲಿ ಕಂಟಿ ಮತ್ತು ಹೊಳು ತೆಗೆಯುವದು,Completed,2008-2009,Gram Panchayat,Micro Irrigation Works,0.92988
,(1504009014/IC/34865),,,,,
107,ಮ.ಎ.ಕಾ.ಕಿಮೀ 16 ರಲ್ಲಿ1 & 2 ರಲ್ಲಿ ಕಂಟಿ ಮತ್ತು ಹೊಳು ತ,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,1.38532
,(1504009014/IC/34866),,,,,
108,ಮ.ಎ.ಕಾ.ಕಿಮೀ 16ರ ಉಪಹಂಚಿಕೆ 2 ರಿಂದ 10 ರವರೆಗೆ ಕಂಟಿ ಮತ್,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.39032
,(1504009014/IC/34867),,,,,
109,ಮ.ಎ.ಕಾ.ಕಿಮೀ 16ರ ಉಪ ಹಂಚಿಕೆ 1 ರಿಂದ 10ರ ವರೆಗೆ ಕಂಟಿ ಮತ,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.533
,(1504009014/IC/34868),,,,,
110,ಮ.ಎ.ಕಾ. ಹಂಚುಕಾಲುವೆ 17 ಕಿಮೀ 1 ರಿಂದ 2 ರ ವರೆಗೆ ಕಂಟಿ ಮ,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,2.22743
,(1504009014/IC/34869),,,,,
111,ಮ.ಎ.ಕಾ. ಹಂಚುಕಾಲುವೆ 17 ಕಿಮೀ 3ರಲ್ಲಿ ಕಂಟಿ ಮತ್ತು ಹೊಳು,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.93082
,(1504009014/IC/34870),,,,,
112,ಮ.ಎ.ಕಾ. ಹಂಚುಕಾಲುವೆ 18 ಕಿಮೀ 1 ಹಾಗೂ 2 ರಲ್ಲಿ ಕಂಟಿ ಮತ್,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,2.43442
,(1504009014/IC/34871),,,,,
113,ಮ.ಎ.ಕಾ. ಹಂಚುಕಾಲುವೆ 17 ರ ಉಪ ಹಂಚಿಕೆ 1 ರಿಂದ 7ರ ವರೆಗೆ,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.94266
,(1504009014/IC/34872),,,,,
114,ಮ.ಎ.ಕಾ. ಹಂಚುಕಾಲುವೆ 18ರ ಉಪ ಹಂಚಿಕೆ 1ರಿಂದ 8ರ ವರೆಗೆ ಕಂ,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,1.03401
,(1504009014/IC/34873),,,,,
115,ಮ.ಎ.ಕಾ. ಹಂಚುಕಾಲುವೆ 20-21ರ ಉಪ ಹಂಚಿಕೆ ಎಲ್-1ರ ಕಿಮೀ 1&,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,1.17049
,(1504009014/IC/34874),,,,,
116,ಮ.ಎ.ಕಾ. ಹಂಚು ಕಾಲುವೆ 20-21ರ ಕಿಮೀ 3 ರಲ್ಲಿ ಕಂಟಿ ಮತ್ತು,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,1.22535
,(1504009014/IC/34875),,,,,
117,ಮ.ಎ.ಕಾ. ಹಂಚು ಕಾಲುವೆ 20-21ರ ಉಪ ಹಂಚಿಕೆ ಎಲ್ -2 ಕಿಮೀ 1,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.96865
,(1504009014/IC/34876),,,,,
118,ಮ.ಎ.ಕಾ.ಹಂಚು ಕಾಲುವೆ 20-21 ರ ಉಪ ಹಂಚಿಕೆ ಎಲ್ -2 ಕಿಮೀ 3,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,1.68163
,(1504009014/IC/34898),,,,,
119,ಮ.ಎ.ಕಾ.ಹಂಚು ಕಾಲುವೆ 20-21 ರ ಉಪ ಹಂಚಿಕೆ ಎಲ್ -2 ಕಿಮೀ 2,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,0.5822
,(1504009014/IC/34900),,,,,
120,ಮ.ಎ.ಕಾ.ಹಂಚು ಕಾಲುವೆ 20-21 ರ ಉಪ ಹಂಚಿಕೆಗೆ ಮುಖ್ಯ ಗೆಟು,Completed,2009-2010,Gram Panchayat,Micro Irrigation Works,2.97245
,(1504009014/IC/34901),,,,,
121,ನರಸಾಪೂರ ಗ್ರಾಮದ ಗೇಟ್ ನಂ 16 ರಿಂದ ಹುಚಕೆಂಚನ್ನವರ ಜಮೀನದವರೆಗೆ ಕಿನಾಲ್ ಹೊಳೆತ್ತುವದು,New,2020-2021,Gram Panchayat,Micro Irrigation Works,0
,(1504009014/IC/93393042892233599),,,,,
122,ನರಸಾಪೂರ ಗ್ರಾಮದ ಗೇಟ್ ನಂ 17 ರಿಂದ ದಳವಾಯಿ ಜಮೀನದವರೆಗೆ ಕಿನಾಲ್ ಹೊಳೆತ್ತುವದು,New,2020-2021,Gram Panchayat,Micro Irrigation Works,0
,(1504009014/IC/93393042892233600),,,,,
123,ನರಸಾಪೂರ ಗ್ರಾಮದ ಗೇಟ್ ನಂ 17 ರ ಎಲ್1 ರಿಮದ ಫಕೀರಪ್ಪ ಹರಿಜನ ಜಮೀನದವರೆಗೆ ಕಿನಾಲ್ ಹೊಳೆತ್ತುವದು,New,2020-2021,Gram Panchayat,Micro Irrigation Works,0
,(1504009014/IC/93393042892233601),,,,,
124,ನರಸಾಪೂರ ಗ್ರಾಮದ ಗೇಟ್ ನಂ 18 ರಿಂದ ಶಿವನಿಂಗಪ್ಪ ಬಾಗಲಕೋಟ ಜಮೀನದವರೆಗೆ ಕಿನಾಲ್ ಹೊಳೆತ್ತುವದು,New,2020-2021,Gram Panchayat,Micro Irrigation Works,0
,(1504009014/IC/93393042892233602),,,,,
125,ನರಸಾಪೂರ ಗ್ರಾಮದ ಗೇಟ್ ನಂ 20-21 ರ ಎಲ್1 ರಿಂದ ಸೀರ್ಯವಂಶಿ ಜಮೀನದವರೆಗೆ ಕಿನಾಲ್ ಹೊಳೆತ್ತುವದು,New,2020-2021,Gram Panchayat,Micro Irrigation Works,0
,(1504009014/IC/93393042892233603),,,,,
126,ನರಸಾಪೂರ ಗ್ರಾಮದ ಗೇಟ್ ನಂ 20-21 ರ ಪೈಕಿ ಸಬ್ ಡಿಸ್ಟೂಬೂಟರ್ ಅಂದಾಜು 2.5 ಕಿ.ಮಿ ಕಿನಾಲ್ ಹೊಳೆತ್ತುವದು,New,2020-2021,Gram Panchayat,Micro Irrigation Works,0
,(1504009014/IC/93393042892233604),,,,,
127,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸವ್ವ ಶಿವಪ್ಪ ಹಳ್ಳಿ ಇವರ ಬಚ್ಚಲ ಇಂಗು ಗುಂಡಿ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/),,,,,
128,"ಬದುಗಳ ಬದಿ ಗಿಡ ನೆಡುವದು ( ಮಾವು, / ಚಿಕ್ಕು, / ಹುನಸೆ &",Completed,2009-2010,Gram Panchayat,Works on Individuals Land (Category IV),0.99626
,(1504009014/IF/83537),,,,,
129,ನರಸಾಪೂರ ಗ್ರಾಮ ಪಂಚಾಯತ ಮನೆಗಳ ಮುಂದೆ ತೇಗು ಸಸಿಗಳನ್ನು ಹಚ,Completed,2010-2011,Gram Panchayat,Works on Individuals Land (Category IV),1.26
,(1504009014/IF/93393042891804548),,,,,
130,ಜೀವಾಪೂರ ಗ್ರಾಮದ ಅಡಿವೇಪ್ಪ ನಿಂ ಇದ್ದಲಿ ಇವರ ಜಮೀನನಲ್ಲಿ 2,Completed,2010-2011,Gram Panchayat,Works on Individuals Land (Category IV),0.0475
,(1504009014/IF/93393042891806048),,,,,
131,ಚಿಲಮೂರ ಗ್ರಾಮದ ಪಾಂಡಪ್ಪ ಹುಚಕೆಂಚನ್ನವರ ಇವರ ಹೊಲದಲ್ಲಿ ಕೃ,Completed,2010-2011,Gram Panchayat,Works on Individuals Land (Category IV),0.285
,(1504009014/IF/93393042891810637),,,,,
132,ವಿಠ್ಠಲ ಶಿವಪ್ಪ ಕಲ್ಲೂರ ದನದ ಶೇಡ್ಡು ನಿರ್ಮಾಣ.,Completed,2013-2014,Gram Panchayat,Works on Individuals Land (Category IV),0.34307
,(1504009014/IF/93393042891888472),,,,,
133,ಶಿವಪ್ಪ ಕ ಕಡ್ಲೆಪ್ಪನವರ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Completed,2014-2015,Gram Panchayat,Works on Individuals Land (Category IV),0.11033
,(1504009014/IF/93393042891929234),,,,,
134,ನರಸಾಪೂರ ಗ್ರಾಂದಲ್ಲಿ ವಿಠ್ಠಲ ಭೀಮಪ್ಪ ಕಾಮಾರ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Completed,2014-2015,Gram Panchayat,Works on Individuals Land (Category IV),0.14975
,(1504009014/IF/93393042891929251),,,,,
135,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಬಾಳನಗೌಡ ಬ ಪಾಟೀಲ ಇವರ ಮನೆ ಹತ್ತಿರ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Completed,2014-2015,Gram Panchayat,Works on Individuals Land (Category IV),0.3452
,(1504009014/IF/93393042891929256),,,,,
136,ಸಿಂಕದರ ಸೈಯದಸಾಬ ಮೂದೋಳ ಇವರ ಕೋಳಿ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Completed,2014-2015,Gram Panchayat,Works on Individuals Land (Category IV),0.17502
,(1504009014/IF/93393042891933159),,,,,
137,ಶಿವಪ್ಪ ಸಿದ್ದಪ್ಪ ಹಕ್ಕೆಪ್ಪನ್ನವರ ಇವರ ಹೊಲದ ಮನೆ ಹತ್ತಿರ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.15515
,(1504009014/IF/93393042891942314),,,,,
138,ಕರಿಯಪ್ಪ ಫಕೀರಪ್ಪ ಬಾಣಿ ಇವರ ಮನೆಯ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.16191
,(1504009014/IF/93393042891942451),,,,,
139,ದುರಗಪ್ಪ ಫಕೀರಪ್ಪ ಮಾದರ ಇವರ ದನದ ಶೇಡ್ಡು ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.33891
,(1504009014/IF/93393042891954627),,,,,
140,ಈರಪ್ಪ ದುಂಡಪ್ಪ ಬೀಡಕಿ ಇವರ ಹೊಲದಲ್ಲಿ ಜಾನುವಾರು ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.14932
,(1504009014/IF/93393042891962278),,,,,
141,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಬಸಪ್ಪ ತಾಯಿ ಮಲೆವ್ವ ಮಾದರ ಇವರ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.32667
,(1504009014/IF/93393042891973344),,,,,
142,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಬಾಬು ಬಸಪ್ಪ ಗುಡಿಮನಿ ಇವರ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.33891
,(1504009014/IF/93393042891973348),,,,,
143,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶಿವಕ್ಕ ಈರಪ್ಪ ಗೊಡಚಿ ಇವರ ಮನೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.196
,(1504009014/IF/93393042891983207),,,,,
144,ನರಸಾಪೂರ ಗ್ರಾಮದ 2015-16ಸಾಲಿನ ಇಂದಿರಾ ಆವಾಸ್ ಯೋಜನೆ ಪಲಾನುಬಿಯ ಬಸವ್ವ ನಿಂಗಪ್ಪ ದಳವಾಯಿ ಇವರ ಮನೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.1892
,(1504009014/IF/93393042891984869),,,,,
145,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಜಂಗ್ಲಿಷಾ ಅಪ್ಪಾಸಾಬ ಮಕಾಂದಾರ ಇವರ ಮನೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.1892
,(1504009014/IF/93393042891984875),,,,,
146,ಸುಳ್ಳಿಕೇರಿ ಗ್ರಾಮದ 2015-16ಸಾಲಿನ ಇಂದಿರಾ ಆವಾಸ್ ಯೋಜನೆ ಪಲಾನುಬಿಯ ಸಾವಿತ್ರಿ ಗೋವಿಂದಪ್ಪ ಪೂಜೇರ ಇವರ ಮನೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.1892
,(1504009014/IF/93393042891984883),,,,,
147,ನರಸಾಪೂರ ಗ್ರಾಮದ 2015-16ಸಾಲಿನ ಇಂದಿರಾ ಆವಾಸ್ ಯೋಜನೆ ಪಲಾನುಬಿಯ ವಿಜಯಲಕ್ಷ್ಮೀ ರಮೇಶ ಹಳ್ಳಿ ಇವರ ಮನೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.1892
,(1504009014/IF/93393042891996151),,,,,
148,ನರಸಾಪೂರ ಗ್ರಾಮದ 2015-16ಸಾಲಿನ ಇಂದಿರಾ ಆವಾಸ್ ಯೋಜನೆ ಪಲಾನುಬಿಯ ಮಕ್ತುಂಬಿ ದಿವಾನಸಾಬ ತೋರಗಲ್ ಇವರ ಮನೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.1892
,(1504009014/IF/93393042891996164),,,,,
149,ನರಸಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ಮಾರುತಿ ಅಡಿವೆಪ್ಪ ಇಂಚಲ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.08568
,(1504009014/IF/93393042891996896),,,,,
150,ನರಸಾಪೂರ ಗ್ರಾಮದ 2015-16ಸಾಲಿನ ಇಂದಿರಾ ಆವಾಸ್ ಯೋಜನೆ ಪಲಾನುಬವಿ ಸರೋಜಾ ಸುಬಾಸಗೌಡ ಪಾಟೀಲ ಇವರ ಮನೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.1892
,(1504009014/IF/93393042891996910),,,,,
151,ಚಿಲಮೂರಗ್ರಾಮದ 2015-16ಸಾಲಿನ ಇಂದಿರಾ ಆವಾಸ್ ಯೋಜನೆ ಪಲಾನುಭವಿಯ ರುಕ್ಮವ್ವ ಅಡಿವೆಪ್ಪ ಮಾದರ ಇವರ ಮನೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.1892
,(1504009014/IF/93393042891997986),,,,,
152,ಚಿಲಮೂರ ಗ್ರಾಮದ 2015-16ನೇ ಸಾಲಿನ ಇಂದರಾ ಆವಾಸ ಯೋಜನೆ ಪಲಾನಿಭವಿ ಶ್ರಿಮತಿ ತುಳಸವ್ವ ಹನಮಂತ ಬಾಬುರಿ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.19456
,(1504009014/IF/93393042892000973),,,,,
153,ಚಿಲಮೂರ ಗ್ರಾಮದ 2015-16ಸಾಲಿನ ಇಂದಿರಾ ಆವಾಸ್ ಯೋಜನೆ ಪಲಾನುಬಿಯ ಶ್ರೀಮತಿ ಮಾಲಾ ಬಸವರಾಜ ಹುಚಕೆಂಚನ್ನವರ ಇವರ ಮನೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.12848
,(1504009014/IF/93393042892001238),,,,,
154,ಚಿಲಮೂರ ಗ್ರಾಮದ 2015-16ಸಾಲಿನ ಇಂದಿರಾ ಆವಾಸ್ ಯೋಜನೆ ಪಲಾನುಬಿಯ ಶ್ರೀಮತಿ ಶೋಬಾ ಬಸವರಾಜ ಮೇಟಿ ಇವರ ಮನೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.1892
,(1504009014/IF/93393042892001240),,,,,
155,ಜೀವಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ರುಕ್ಮವ್ವ ಭೀಮಪ್ಪ ಹಗೇದ ಇವರ ಹೊಲದಲ್ಲಿ ಕೃಷೀ ಹೊಂಡ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.34272
,(1504009014/IF/93393042892004442),,,,,
156,ಜೀವಾಪೂರ ಗ್ರಾಮದಲ್ಲಿ ರಂಗಪ್ಪ ಹ. ಹಗೇದ ಇವರ ಹೊಲದಲ್ಲಿ ಕೃಷೀ ಹೊಂಡ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.29376
,(1504009014/IF/93393042892004448),,,,,
157,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶಿವಮೂರ್ತಯ್ಯ ಮಹಾಲಿಂಗಯ್ಯಾ ಹಿರೇಮಠ ಇವರ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.14569
,(1504009014/IF/93393042892005538),,,,,
158,ಚಿಲಮೂರ ಗ್ರಾಮದಲ್ಲಿ ಫಕೀರಪ್ಪ ನಿಂಗಪ್ಪ ಯರಗಟ್ಟಿ ಇವರ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.15897
,(1504009014/IF/93393042892007813),,,,,
159,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸಪ್ಪ ಫಕೀರಪ್ಪ ಪರಮಗೊಂಡ ಇವರ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.08568
,(1504009014/IF/93393042892010564),,,,,
160,ಚಿಲಮೂರ ಗ್ರಾಮದ 2015-16ಸಾಲಿನ ಇಂದಿರಾ ಆವಾಸ್ ಯೋಜನೆ ಪಲಾನುಬಿಯ ಸಾವಕ್ಕ ನಿಂಗಪ್ಪ ಮಾದರ ಇವರ ಮನೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.17216
,(1504009014/IF/93393042892012861),,,,,
161,ಚಿಲಮೂರ ಗ್ರಾಮದಲ್ಲಿ ರಾಮಚಂದ್ರ ಹನಮಂತ ಕುಕ್ಕಡಿ ಇವರ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.14623
,(1504009014/IF/93393042892012871),,,,,
162,ನರಸಾಪೂರ ಗ್ರಾಮದ 2015-16ನೇ ಸಾಲಿನ ಇಂದರಾ ಆವಾಸ ಪಲಾನುಭವಿ ಹನಮವ್ವ ಗೋಪಾಲ ಮಾದರ ಇವರ ಮನೆ ನಿರ್ಮಾಣ,Completed,2015-2016,Gram Panchayat,Works on Individuals Land (Category IV),0.05712
,(1504009014/IF/93393042892017953),,,,,
163,ಚಿಲಮೂರ ಗ್ರಾಮದ ವಿಠ್ಠಲ ಭೀಮಪ್ಪ ದಳವಾಯಿ ಇವರ ಜಮೀನನಲ್ಲಿ ಜಾನುವಾರು ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.09408
,(1504009014/IF/93393042892034582),,,,,
164,ಚಿಲಮೂರ ಗ್ರಾಮದ ಫಕೀರಪ್ಪ ಲಕ್ಷ್ಮಪ್ಪ ಹುಚಕೆಂಚನವರ ಇವರ ಮನೆಮುಂದೆ ಜಾನುವಾರು ಶೆಡ್ಡು ನಿರ್ಮಾಣ,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.08064
,(1504009014/IF/93393042892034611),,,,,
